"pop","A","year","S_obs","n_age3M_obs","n_age4M_obs","n_age5M_obs","n_age6M_obs","n_age7M_obs","n_age8M_obs","n_age4K_obs","n_age5K_obs","n_age6K_obs","n_age7K_obs","n_age8K_obs","n_age9K_obs","n_W_obs","n_H_obs","B_take_obs","fit_p_HOS","F_rate","F_rate_NA"
"Humptulips",224,1979,3371,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,FALSE,0.0672,FALSE
"Humptulips",224,1980,2854,0,20,14,2,0,0,0,3,2,0,0,0,0,0,0,FALSE,0.2442,FALSE
"Humptulips",224,1981,1967,0,10,18,0,0,0,0,2,1,0,0,0,0,0,0,FALSE,0.2747,FALSE
"Humptulips",224,1982,4400,0,22,46,3,0,0,0,6,7,0,0,0,0,0,0,FALSE,0.1737,FALSE
"Humptulips",224,1983,2248,0,10,41,3,0,0,1,6,4,3,0,0,0,0,0,FALSE,0.2159,FALSE
"Humptulips",224,1984,4074,1,34,36,2,0,0,0,6,5,0,0,0,0,0,0,FALSE,0.1282,FALSE
"Humptulips",224,1985,4048,3,91,108,16,1,0,8,12,28,7,0,0,0,0,0,FALSE,0.4319,FALSE
"Humptulips",224,1986,4470,0,18,78,17,0,0,1,4,16,5,0,0,0,0,0,FALSE,0.2304,FALSE
"Humptulips",224,1987,3666,3,30,42,12,0,0,0,9,23,6,2,0,0,0,0,FALSE,0.2358,FALSE
"Humptulips",224,1988,3410,1,153,187,11,0,0,1,9,13,13,3,0,0,0,0,FALSE,0.3496,FALSE
"Humptulips",224,1989,2754,1,34,94,25,0,0,0,9,16,2,0,0,0,0,0,FALSE,0.2817,FALSE
"Humptulips",224,1990,3100,1,73,81,15,0,0,2,12,23,4,0,0,0,0,0,FALSE,0.2869,FALSE
"Humptulips",224,1991,2604,0,28,34,5,0,0,1,6,7,1,0,1,0,0,0,FALSE,0.19,FALSE
"Humptulips",224,1992,2524,0,41,53,3,0,0,0,3,3,0,1,0,0,0,0,FALSE,0.2298,FALSE
"Humptulips",224,1993,2048,0,11,37,11,0,0,0,0,4,0,0,0,0,0,0,FALSE,0.2727,FALSE
"Humptulips",224,1994,1390,1,29,29,2,0,0,3,2,6,1,0,0,0,0,0,FALSE,0.3012,FALSE
"Humptulips",224,1995,2053,0,6,11,1,0,0,0,1,0,0,0,0,0,0,0,FALSE,0.2906,FALSE
"Humptulips",224,1996,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.1293,FALSE
"Humptulips",224,1997,1012,0,24,17,0,0,0,0,5,4,0,0,0,0,0,0,FALSE,0.1643,FALSE
"Humptulips",224,1998,1344,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0.0324,FALSE
"Humptulips",224,1999,1970,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0286,FALSE
"Humptulips",224,2000,1315,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,FALSE,0.038,FALSE
"Humptulips",224,2001,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0617,FALSE
"Humptulips",224,2002,2522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0341,FALSE
"Humptulips",224,2003,2658,0,19,21,2,0,0,0,4,4,0,0,0,0,0,0,FALSE,0.0641,FALSE
"Humptulips",224,2004,3884,0,55,48,5,0,0,0,6,4,0,0,0,0,0,0,FALSE,0.0752,FALSE
"Humptulips",224,2005,2250,0,18,50,7,0,0,0,11,4,4,0,0,0,0,0,FALSE,0.1204,FALSE
"Humptulips",224,2006,2392,0,17,16,2,0,0,0,0,2,0,0,0,0,0,0,FALSE,0.0493,FALSE
"Humptulips",224,2007,2096,0,25,40,9,1,0,0,6,2,1,0,0,0,0,0,FALSE,0.1237,FALSE
"Humptulips",224,2008,1484,0,15,16,3,0,0,2,7,2,0,0,0,0,0,0,FALSE,0.1017,FALSE
"Humptulips",224,2009,1155,0,27,12,3,0,0,0,5,1,0,0,0,0,0,0,FALSE,0.1237,FALSE
"Humptulips",224,2010,1168,3,24,10,0,0,0,0,2,0,0,0,0,0,0,0,FALSE,0.1036,FALSE
"Humptulips",224,2011,2401,0,20,22,0,0,0,0,3,2,0,0,0,0,0,0,FALSE,0.095,FALSE
"Humptulips",224,2012,2132,2,77,59,12,0,0,1,6,6,1,0,0,0,0,0,FALSE,0.194,FALSE
"Humptulips",224,2013,2819,1,47,66,10,0,0,0,24,9,0,0,0,0,0,0,FALSE,0.1623,FALSE
"Humptulips",224,2014,1333,0,87,43,5,0,0,1,8,12,0,0,0,0,0,0,FALSE,0.2004,FALSE
"Humptulips",224,2015,2124,3,98,81,9,0,0,0,10,6,0,0,0,0,0,0,FALSE,0.292,FALSE
"Humptulips",224,2016,2343,3,137,121,16,0,0,0,22,4,0,0,0,0,0,0,FALSE,0.1921,FALSE
"Humptulips",224,2017,1109,0,35,57,6,0,0,0,8,6,0,0,0,0,0,0,FALSE,0.2118,FALSE
"Humptulips",224,2018,2088,0,30,18,2,0,0,0,1,0,0,0,0,0,0,0,FALSE,0.0603,FALSE
"Humptulips",224,2019,1154,2,51,103,5,0,0,0,8,0,0,0,0,0,0,0,FALSE,0.3585,FALSE
"Humptulips",224,2020,786,2,16,23,2,0,0,1,3,1,0,0,0,0,0,0,FALSE,0.085,FALSE
"Humptulips",224,2021,1238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0275,FALSE
"Humptulips",224,2022,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,TRUE
"Queets",332,1980,8215,0,34,33,0,0,0,2,6,6,0,0,0,0,0,0,FALSE,0,TRUE
"Queets",332,1981,7018,0,165,131,6,0,0,0,93,18,0,1,0,0,0,0,FALSE,0.4727,FALSE
"Queets",332,1982,6332,0,275,259,13,0,0,2,73,73,12,1,0,0,0,0,FALSE,0.3843,FALSE
"Queets",332,1983,4622,1,230,255,21,0,0,3,65,50,13,1,0,0,0,0,FALSE,0.4578,FALSE
"Queets",332,1984,3886,0,362,155,21,0,0,6,35,40,7,1,0,0,0,0,FALSE,0.4576,FALSE
"Queets",332,1985,5240,3,290,237,12,1,0,4,84,48,8,5,0,0,0,0,FALSE,0.495,FALSE
"Queets",332,1986,5002,0,165,251,47,0,0,1,48,54,6,1,0,0,0,0,FALSE,0.4532,FALSE
"Queets",332,1987,5526,6,227,243,38,1,0,1,54,65,14,3,1,0,0,0,FALSE,0.4871,FALSE
"Queets",332,1988,5344,1,273,275,28,0,0,3,43,31,11,2,0,0,0,0,FALSE,0.485,FALSE
"Queets",332,1989,5320,3,188,332,48,0,0,0,52,63,19,3,1,0,0,0,FALSE,0.4183,FALSE
"Queets",332,1990,4708,9,310,218,39,0,0,0,32,58,10,3,0,0,0,0,FALSE,0.4284,FALSE
"Queets",332,1991,5215,4,265,264,18,0,0,4,64,36,12,5,0,0,0,0,FALSE,0.3726,FALSE
"Queets",332,1992,7083,1,299,234,15,0,0,1,20,37,8,1,0,0,0,0,FALSE,0.4127,FALSE
"Queets",332,1993,6877,0,186,237,17,0,0,2,38,29,5,0,0,0,0,0,FALSE,0.3897,FALSE
"Queets",332,1994,6083,0,144,244,20,1,0,0,42,30,5,0,0,0,0,0,FALSE,0.2816,FALSE
"Queets",332,1995,3404,1,244,152,20,0,0,0,27,43,12,1,0,0,0,0,FALSE,0.392,FALSE
"Queets",332,1996,2271,0,302,156,5,0,0,9,34,17,4,1,0,0,0,0,FALSE,0.548,FALSE
"Queets",332,1997,3180,0,280,192,14,0,0,2,48,22,5,3,0,0,0,0,FALSE,0.4155,FALSE
"Queets",332,1998,3629,1,92,191,15,0,0,2,27,17,4,0,0,0,0,0,FALSE,0.289,FALSE
"Queets",332,1999,3098,0,170,146,15,0,0,2,22,37,2,0,0,0,0,0,FALSE,0.4277,FALSE
"Queets",332,2000,4262,3,130,105,9,1,0,0,19,21,6,1,0,0,0,0,FALSE,0.3025,FALSE
"Queets",332,2001,4942,1,99,147,4,0,0,0,19,15,3,0,0,0,0,0,FALSE,0.3148,FALSE
"Queets",332,2002,4956,0,39,12,1,0,0,0,1,0,0,0,0,0,0,0,FALSE,0.104,FALSE
"Queets",332,2003,3171,2,99,199,24,0,0,1,42,22,3,0,0,0,0,0,FALSE,0.3506,FALSE
"Queets",332,2004,7841,1,158,174,36,3,0,1,20,21,7,0,0,0,0,0,FALSE,0.1722,FALSE
"Queets",332,2005,6476,0,79,156,28,1,0,0,27,26,8,0,0,0,0,0,FALSE,0.1637,FALSE
"Queets",332,2006,7053,0,164,139,21,1,0,1,15,27,3,1,0,0,0,0,FALSE,0.1461,FALSE
"Queets",332,2007,4998,0,145,190,15,1,0,1,52,25,8,0,0,0,0,0,FALSE,0.2836,FALSE
"Queets",332,2008,4766,0,119,75,8,0,0,3,48,10,0,0,0,0,0,0,FALSE,0.1922,FALSE
"Queets",332,2009,4102,0,151,74,7,0,0,3,35,18,1,0,0,0,0,0,FALSE,0.2395,FALSE
"Queets",332,2010,4751,4,261,71,1,0,0,4,52,13,0,0,0,0,0,0,FALSE,0.2956,FALSE
"Queets",332,2011,5296,6,372,278,21,0,0,2,94,14,0,0,0,0,0,0,FALSE,0.3507,FALSE
"Queets",332,2012,4245,2,243,347,42,0,0,1,56,11,0,0,0,0,0,0,FALSE,0.4335,FALSE
"Queets",332,2013,4054,1,225,247,50,0,0,0,83,44,0,0,0,0,0,0,FALSE,0.3902,FALSE
"Queets",332,2014,2569,3,189,170,13,0,0,1,37,13,0,0,0,0,0,0,FALSE,0.3984,FALSE
"Queets",332,2015,4794,0,172,178,8,0,0,0,44,8,0,0,0,0,0,0,FALSE,0.3113,FALSE
"Queets",332,2016,4777,0,266,280,38,1,0,1,47,22,0,0,0,0,0,0,FALSE,0.3102,FALSE
"Queets",332,2017,2477,0,100,289,13,0,0,0,32,12,0,0,0,0,0,0,FALSE,0.3901,FALSE
"Queets",332,2018,3714,4,203,115,18,0,0,0,15,9,0,0,0,0,0,0,FALSE,0.2271,FALSE
"Queets",332,2019,2860,2,145,188,20,0,0,0,30,10,1,0,0,0,0,0,FALSE,0.2928,FALSE
"Queets",332,2020,2566,4,241,119,5,0,0,1,14,9,0,0,0,0,0,0,FALSE,0.2595,FALSE
"Queets",332,2021,2738,1,60,148,3,0,0,1,25,9,0,0,0,0,0,0,FALSE,0.1492,FALSE
"Queets",332,2022,2899,1,45,14,0,0,0,0,7,4,0,0,0,0,0,0,FALSE,0.0508,FALSE
"Quillayute",658,1978,8303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.1723,FALSE
"Quillayute",658,1979,5087,5,1082,509,18,0,0,0,214,163,0,0,0,0,0,0,FALSE,0.3267,FALSE
"Quillayute",658,1980,6006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3073,FALSE
"Quillayute",658,1981,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.224,FALSE
"Quillayute",658,1982,11660,0,397,868,78,0,0,0,341,182,13,0,0,0,0,0,FALSE,0.2301,FALSE
"Quillayute",658,1983,8761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.1868,FALSE
"Quillayute",658,1984,10669,22,449,338,16,0,0,0,51,66,7,0,0,0,0,0,FALSE,0.1945,FALSE
"Quillayute",658,1985,6676,0,1300,1083,56,0,0,0,192,84,17,0,0,0,0,0,FALSE,0.4071,FALSE
"Quillayute",658,1986,10742,0,381,697,133,0,0,0,241,26,17,0,0,0,0,0,FALSE,0.2528,FALSE
"Quillayute",658,1987,10000,129,672,1104,188,79,0,0,107,166,8,0,0,0,0,0,FALSE,0.3331,FALSE
"Quillayute",658,1988,12185,11,1613,2257,226,14,0,0,99,244,32,0,0,0,0,0,FALSE,0.3829,FALSE
"Quillayute",658,1989,14048,22,530,1484,373,31,0,0,111,220,14,0,0,0,0,0,FALSE,0.2845,FALSE
"Quillayute",658,1990,8096,20,1041,1004,322,15,0,0,52,209,8,0,0,0,0,0,FALSE,0.3824,FALSE
"Quillayute",658,1991,7658,15,587,1405,186,7,0,0,130,209,27,0,0,0,0,0,FALSE,0.38,FALSE
"Quillayute",658,1992,5514,91,2329,1786,123,2,0,0,105,106,21,0,0,0,0,0,FALSE,0.5448,FALSE
"Quillayute",658,1993,6270,68,1199,2403,276,3,0,0,248,122,18,0,0,0,0,0,FALSE,0.531,FALSE
"Quillayute",658,1994,7283,19,697,788,81,3,0,0,42,83,2,0,0,0,0,0,FALSE,0.3369,FALSE
"Quillayute",658,1995,10926,245,880,940,177,9,0,0,72,81,9,0,0,0,0,0,FALSE,0.3489,FALSE
"Quillayute",658,1996,15191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2972,FALSE
"Quillayute",658,1997,10558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3596,FALSE
"Quillayute",658,1998,16949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.103,FALSE
"Quillayute",658,1999,16502,7,468,391,58,2,0,3,43,56,7,2,0,0,0,0,FALSE,0.215,FALSE
"Quillayute",658,2000,14664,6,500,485,81,5,0,1,38,42,10,5,0,0,0,0,FALSE,0.2839,FALSE
"Quillayute",658,2001,12584,8,462,941,119,5,0,1,99,62,24,7,0,0,0,0,FALSE,0.3648,FALSE
"Quillayute",658,2002,11242,3,418,398,52,3,0,0,34,64,16,2,0,0,0,0,FALSE,0.2823,FALSE
"Quillayute",658,2003,8724,2,298,632,122,2,0,0,46,52,16,2,0,0,0,0,FALSE,0.2804,FALSE
"Quillayute",658,2004,11464,41,428,451,85,6,0,1,30,55,13,2,0,0,0,0,FALSE,0.2574,FALSE
"Quillayute",658,2005,8833,13,208,618,89,4,0,0,50,48,11,3,0,0,0,0,FALSE,0.2425,FALSE
"Quillayute",658,2006,11057,44,331,435,121,2,0,1,24,53,13,1,0,0,0,0,FALSE,0.1825,FALSE
"Quillayute",658,2007,7470,64,656,964,103,3,0,5,58,48,16,2,0,0,0,0,FALSE,0.3614,FALSE
"Quillayute",658,2008,8328,35,403,471,64,1,0,1,41,46,9,2,0,0,0,0,FALSE,0.2578,FALSE
"Quillayute",658,2009,4733,19,249,255,47,5,0,2,31,24,16,0,0,0,0,0,FALSE,0.3025,FALSE
"Quillayute",658,2010,7548,73,416,297,58,1,0,4,23,14,7,0,0,0,0,0,FALSE,0.2732,FALSE
"Quillayute",658,2011,11263,12,359,337,58,4,0,3,40,19,2,1,0,0,0,0,FALSE,0.1948,FALSE
"Quillayute",658,2012,8925,11,276,452,49,1,0,1,31,25,3,0,0,0,0,0,FALSE,0.2941,FALSE
"Quillayute",658,2013,7476,8,187,436,103,5,0,0,22,42,8,1,0,0,0,0,FALSE,0.2916,FALSE
"Quillayute",658,2014,6606,6,317,406,62,2,0,0,28,32,8,0,0,0,0,0,FALSE,0.2665,FALSE
"Quillayute",658,2015,7914,14,394,501,66,1,0,0,48,41,8,1,0,0,0,0,FALSE,0.2919,FALSE
"Quillayute",658,2016,5500,11,245,332,33,1,0,1,11,19,1,0,0,0,0,0,FALSE,0.3034,FALSE
"Quillayute",658,2017,6001,9,184,443,40,0,0,0,35,35,9,0,0,0,0,0,FALSE,0.1653,FALSE
"Quillayute",658,2018,8389,54,360,250,30,2,0,1,11,20,2,2,0,0,0,0,FALSE,0.1563,FALSE
"Quillayute",658,2019,7216,41,302,381,64,4,0,0,32,16,6,0,0,0,0,0,FALSE,0.139,FALSE
"Quillayute",658,2020,7960,11,467,246,12,1,0,0,21,10,2,0,0,0,0,0,FALSE,0.1394,FALSE
"Quillayute",658,2021,6675,12,95,204,18,0,0,0,32,5,0,0,0,0,0,0,FALSE,0.1093,FALSE
"Quillayute",658,2022,8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0893,FALSE
"Quinault",253,1983,2488,0,13,22,4,0,0,0,2,0,0,0,0,0,0,0,FALSE,0,TRUE
"Quinault",253,1984,5774,0,26,9,0,0,0,0,0,1,2,0,0,0,0,0,FALSE,0,TRUE
"Quinault",253,1985,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4917,FALSE
"Quinault",253,1986,4998,3,122,254,33,1,0,3,34,30,10,2,0,0,0,0,FALSE,0.3438,FALSE
"Quinault",253,1987,2991,9,162,183,45,1,1,1,16,38,18,6,0,0,0,0,FALSE,0.6633,FALSE
"Quinault",253,1988,4266,4,245,223,43,0,0,3,19,33,6,0,1,0,0,0,FALSE,0.5077,FALSE
"Quinault",253,1989,4340,4,171,281,35,0,0,0,30,28,6,0,1,0,0,0,FALSE,0.4824,FALSE
"Quinault",253,1990,4514,5,297,194,60,0,0,4,24,34,4,0,0,0,0,0,FALSE,0.4283,FALSE
"Quinault",253,1991,3464,1,207,264,24,4,0,1,17,25,11,0,1,0,0,0,FALSE,0.4601,FALSE
"Quinault",253,1992,3384,0,264,238,16,0,0,0,12,17,2,0,0,0,0,0,FALSE,0.574,FALSE
"Quinault",253,1993,2713,2,167,228,24,1,0,0,19,12,6,0,0,0,0,0,FALSE,0.6041,FALSE
"Quinault",253,1994,3054,1,143,210,21,1,0,3,27,20,8,1,0,0,0,0,FALSE,0.4011,FALSE
"Quinault",253,1995,2698,8,141,134,25,1,0,0,6,21,4,0,0,0,0,0,FALSE,0.4285,FALSE
"Quinault",253,1996,2459,1,201,124,14,0,0,3,15,8,5,1,0,0,0,0,FALSE,0.5218,FALSE
"Quinault",253,1997,3648,1,170,150,11,0,0,0,16,18,2,1,0,0,0,0,FALSE,0.4115,FALSE
